código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
45072,57583092.00,21708153.00,47849662.00,5346759.00,0.00,901024.00,6301.00,1840.00,161.00,9.14,12.89,1.31,2.53,79.90,20.10,91.22,7.62,1.25,-0.06,2.53,36.64,0.55,28.45,19.70,294.55,133.21,21.49,36.97,64.22,90.59,34.39,2.04,0.98,33.11,-0.99,8.89,-30.88,41.66,41.66,47.62,202408
65203,7856537.00,3061967.00,2700907.00,3520235.00,0.00,725.00,241.00,19074.00,90.00,0.81,11.60,6.55,26.73,22.14,77.86,74.40,34.00,1.15,-0.13,26.73,3.99,22.69,69.94,-69.45,29.72,30.39,-101.98,62.73,-97.04,84.56,64.37,-32.29,-37.48,29.30,-11.79,-1.19,-44.25,9.76,9.76,42.00,202408
AA000,165459518901.00,51147719560.00,102579955843.00,45696436579.00,8155560.00,102440272.00,4809859.00,36742257.00,97117.00,2.38,0.02,-1.25,1.53,57.44,42.69,163.21,2.62,0.72,50.43,1.57,13.74,1.04,9.45,350.35,1039.41,468.78,26.54,56.53,114.26,72.68,42.56,6.59,9.87,39.05,-1.29,1.40,-8.10,29.98,29.82,29.90,202408
AA100,163530218871.00,49988898615.00,101789011484.00,45400704014.00,8155560.00,95757682.00,4793736.00,33997643.00,95797.00,2.36,-0.05,-1.28,1.46,57.89,42.24,168.54,2.48,0.71,54.04,1.51,13.84,1.04,9.48,352.81,1045.63,462.89,26.70,56.75,114.52,72.44,42.50,6.65,9.95,39.11,-1.27,1.41,-8.08,30.13,29.97,29.91,202408
AA110,67731806680.00,18729833527.00,43004719702.00,20628932028.00,2014289.00,39456089.00,2260916.00,11916312.00,37915.00,2.06,0.30,-0.90,1.62,52.91,47.17,151.46,2.00,1.28,48.78,1.82,9.69,1.06,7.77,507.26,1113.72,380.98,37.79,69.79,126.41,89.77,46.91,9.54,14.30,41.62,-1.34,-0.11,-6.29,20.46,20.42,25.09,202408
AA120,95798412191.00,31259065088.00,58784291782.00,24771771986.00,6141271.00,56301593.00,2532820.00,22081331.00,57882.00,2.62,-0.34,-1.60,1.37,60.66,39.50,181.78,2.80,0.44,57.69,1.33,16.77,1.02,10.59,279.14,1001.08,516.47,18.65,50.53,105.89,64.08,39.07,4.60,6.86,37.34,-1.22,2.48,-9.35,37.18,36.95,33.43,202408
AA121,51049388882.00,14629184736.00,31419074050.00,13204060127.00,2016452.00,34035013.00,1530221.00,14963333.00,33544.00,2.65,-0.12,-1.38,1.37,59.13,40.89,176.81,2.65,0.48,54.39,1.32,16.15,0.85,10.68,280.00,924.26,416.87,21.05,51.95,105.80,68.40,43.95,5.13,7.73,36.91,-1.11,2.23,-9.21,39.54,39.43,33.13,202408
AA123,40645034183.00,15740750155.00,25743987997.00,9748743809.00,4122558.00,22262941.00,1002539.00,7100401.00,22961.00,2.89,-0.27,-1.76,1.45,59.75,40.34,169.41,2.95,0.44,50.77,1.42,17.05,1.26,9.93,254.15,1102.57,655.80,22.17,49.59,106.97,59.40,35.69,5.02,7.20,35.68,-1.41,2.65,-9.52,30.86,30.49,30.18,202408
AA124,4103989126.00,889130197.00,1621229735.00,1818968050.00,2261.00,3639.00,60.00,17597.00,1377.00,0.82,-2.31,-2.31,0.00,103.70,0.00,3427464.79,3.56,0.00,352.60,0.00,22.34,0.00,19.70,477.99,1174.42,611.78,-9.57,44.35,101.82,79.26,5.67,-4.22,-4.75,55.20,-0.70,3.71,-9.39,91.90,91.60,90.68,202408
AA200,1929300030.00,1158820945.00,790944359.00,295732565.00,0.00,6682590.00,16123.00,2744614.00,1320.00,4.61,9.44,2.53,4.14,40.12,59.88,86.77,6.28,0.95,-8.64,4.06,4.93,1.21,7.89,131.91,589.81,895.27,1.99,36.95,74.60,83.06,54.66,0.36,1.32,32.25,-4.13,0.64,-10.14,12.99,11.21,28.70,202408
AA210,981252587.00,418358980.00,750815532.00,97593851.00,0.00,6682585.00,16056.00,2632672.00,948.00,6.17,21.32,7.65,9.71,3.58,96.42,83.54,10.03,1.31,-2.17,9.71,6.61,1.95,8.39,55.21,788.32,427.98,39.41,31.34,63.18,121.77,52.91,4.95,4.77,37.28,-7.92,-2.04,-14.36,7.40,7.44,25.75,202408
AA220,948047443.00,740461965.00,40128827.00,198138714.00,0.00,5.00,67.00,111942.00,372.00,3.71,2.70,-0.38,0.79,62.09,37.91,110.62,0.56,0.93,-33.27,0.77,3.44,0.76,7.18,258.79,90.12,2071.56,-14.67,46.23,79.68,69.49,77.39,-3.25,-1.39,28.30,-1.15,2.74,-6.82,40.52,81.67,83.86,202408
AA910,78319920255.00,27452003219.00,47769701731.00,20650046375.00,5613949.00,39285426.00,2061588.00,16986238.00,43610.00,2.56,-0.44,-1.76,1.34,59.82,40.36,188.84,2.67,0.43,62.56,1.31,17.29,1.00,9.79,307.10,1080.86,601.86,19.39,50.39,108.26,62.39,36.98,4.92,7.13,38.21,-1.31,2.55,-8.95,40.43,34.40,33.15,202408
