código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00331,3161192.00,2365034.00,0.00,2666572.00,0.00,0.00,0.00,0.00,5.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.49,0.00,99.19,-61.72,0.00,472.60,-158.74,30.17,-61.45,61.40,0.00,-132.54,-132.54,36.61,0.00,-0.05,-83.13,0.00,0.00,0.00,202410
00332,151669123.00,133203523.00,0.00,22403215.00,0.00,0.00,0.00,525155.00,180.00,5.77,72.11,36.97,12.47,0.00,100.00,60.25,12.47,0.00,5.84,12.47,0.21,11.12,25.77,17.87,0.00,759.60,-39.95,32.18,27.63,64.42,175.90,-7.64,-5.68,32.16,-11.59,21.40,-29.56,0.45,0.00,0.00,202410
00338,387492260.00,81574646.00,127969852.00,124155409.00,780.00,564.00,80.00,5409.00,136.00,1.70,-1.64,-1.64,0.08,99.49,0.51,1991.13,0.06,0.08,67.56,0.08,10.09,0.08,22.58,442.37,918.49,588.16,81.23,44.42,215.06,61.94,33.56,20.28,36.21,67.86,-1.04,3.12,-12.13,155.71,134.16,47.93,202410
00339,102573952.00,80727231.00,20405899.00,37995594.00,3.00,0.00,33.00,16278.00,19.00,1.70,-0.28,-0.28,0.00,100.00,0.00,0.00,0.00,0.00,-87.12,0.00,19.99,0.00,6.25,446.14,1056.75,4246.83,-40.47,26.64,66.31,82.49,59.72,-17.74,-20.33,40.94,0.60,-0.39,-6.51,40.68,100.48,100.48,202410
00340,172954869.00,48978966.00,130184474.00,24596148.00,0.00,79.00,15.00,83.00,69.00,4.78,-0.45,-0.45,0.03,99.99,0.01,1197.06,21.41,0.03,-51.86,0.01,22.66,0.03,8.12,145.05,1818.59,695.76,29.84,73.40,93.60,58.69,65.60,3.53,4.31,23.14,-0.14,0.41,-7.63,76.38,44.02,57.17,202410
00341,27990413.00,4205969.00,18228657.00,6527439.00,358.00,8437.00,5512.00,33426.00,95.00,3.29,3.21,1.11,8.08,50.61,49.39,79.58,14.41,1.89,3.40,8.08,23.72,5.40,28.31,-38.76,186.46,41.07,-40.42,65.46,-31.09,94.69,30.40,-10.33,-11.34,13.20,-0.90,1.16,-20.50,47.21,36.43,47.21,202410
00384,211726433.00,48474518.00,190922286.00,12175023.00,0.00,1306894.00,46563.00,183344.00,60.00,16.39,0.53,-4.64,0.18,0.56,99.44,612.16,0.18,0.00,0.11,0.18,4.94,0.00,4.99,45.14,3140.78,782.24,-23.47,39.62,60.79,46.13,31.38,-1.82,-1.82,18.36,-0.56,-0.98,-10.47,59.55,37.34,27.68,202410
00386,1152392138.00,409749822.00,723840547.00,319913847.00,25385.00,798532.00,38379.00,634467.00,752.00,2.60,-0.50,-0.93,0.60,54.18,45.82,227.06,0.88,0.37,-10.33,0.46,8.11,0.60,11.11,248.63,951.52,544.02,23.42,44.44,86.66,58.77,31.38,6.92,10.54,37.85,-0.54,2.34,-10.31,29.52,20.43,21.44,202410
00389,419817848.00,103749955.00,119772903.00,86646825.00,1267.00,343730.00,24305.00,231464.00,717.00,3.42,7.66,2.33,7.52,8.34,91.66,76.78,8.21,0.02,23.17,7.52,6.42,5.06,34.98,-61.67,161.06,135.48,94.51,60.58,-72.97,106.15,51.87,18.27,20.82,9.85,-2.55,3.83,-22.88,22.48,20.54,23.87,202410
00426,129528864.00,51652704.00,87308887.00,31719362.00,4314.00,55989.00,6136.00,159002.00,185.00,3.08,0.00,-0.60,0.69,56.29,43.71,151.56,1.46,0.10,-22.40,0.69,14.96,0.10,12.82,172.26,464.85,271.01,17.38,57.80,98.28,74.50,42.38,4.43,6.94,39.93,-0.60,4.25,-14.55,33.67,22.20,33.67,202410
