código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),L9 - Liquidez con leliq y pases (%),fecha
00143,111960810.00,13473905.00,81507906.00,12846767.00,0.00,5811132.00,67698.00,1278.00,342.00,7.11,2.91,-0.07,2.02,17.67,82.33,102.44,2.46,0.00,3.01,2.02,20.68,0.22,31.89,9.57,236.22,38.03,-59.80,61.41,20.81,79.64,25.94,-7.32,-10.46,38.91,-0.94,-5.93,-26.64,37.67,37.67,63.01,202405
00147,89060000.00,19664813.00,39608155.00,20139359.00,433.00,257.00,144.00,387.00,106.00,2.78,-0.96,-0.96,0.29,99.70,0.30,393.93,10.04,0.26,3.10,0.29,9.18,0.24,25.59,53.97,366.58,184.83,28.21,67.36,46.22,105.28,73.65,5.76,5.86,33.80,-0.49,-0.83,-17.47,75.72,75.47,54.27,202405
00150,4645280948.00,1274241982.00,2836416262.00,1262239204.00,272772.00,1440688.00,57709.00,138072.00,2857.00,2.36,-0.83,-1.76,1.09,65.44,35.07,248.31,2.16,0.51,81.41,1.08,17.91,0.96,11.12,302.94,962.19,447.05,25.36,56.87,116.83,59.53,29.63,6.00,8.46,38.38,-0.76,2.15,-9.13,33.87,33.97,36.10,202405
00158,17567029.00,0.00,0.00,15385903.00,0.00,99798.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,-100.00,0.00,22.64,0.00,0.00,-76.79,0.00,0.00,-177.07,39.10,-148.08,177.79,65.99,-105.66,-102.91,32.07,0.00,-2.89,-115.07,0.00,0.00,0.00,202405
00165,312657722.00,0.00,55208449.00,247722373.00,38.00,69.00,0.00,0.00,165.00,0.22,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-100.00,0.00,5.46,0.00,76.79,680.21,330.04,0.00,-12.69,85.00,108.34,36.63,30.96,-9.87,-7.28,98.25,0.00,5.03,-12.38,313.32,313.32,254.18,202405
00191,5323304263.00,586427993.00,3042660069.00,2054158774.00,379545.00,3275362.00,197098.00,665598.00,4585.00,1.59,-0.32,-0.36,0.45,77.29,23.12,361.44,1.37,0.17,38.98,0.45,9.70,0.34,15.34,404.06,644.17,119.79,40.56,49.57,126.83,65.59,62.64,11.55,11.55,44.63,-0.24,2.69,-8.94,16.96,16.96,36.05,202405
00198,1128347900.00,35467116.00,998451540.00,97282439.00,1264.00,1991.00,124.00,510.00,276.00,10.41,-0.37,-0.37,0.00,99.39,0.61,0.00,0.00,0.00,-64.93,0.00,49.04,0.00,3.58,410.44,3564.79,128.66,19.63,69.19,143.57,60.66,39.51,1.40,2.37,15.99,-0.13,0.74,-2.49,55.39,55.39,64.73,202405
00247,74131575.00,288599.00,18625628.00,42194196.00,21380.00,8365.00,1357.00,1527.00,151.00,0.76,0.00,0.00,0.33,98.28,1.72,97.58,0.56,0.32,-74.80,0.33,1.25,0.33,55.86,573.32,122.99,1.98,24.13,50.10,144.68,81.05,24.45,12.74,22.42,84.06,-0.12,8.85,-13.33,4.99,4.99,35.92,202405
00254,257007416.00,49243671.00,75517265.00,108546523.00,613.00,1757.00,104.00,296.00,194.00,1.27,-0.43,-0.43,0.69,99.47,0.53,200.52,4.59,0.67,-0.20,0.69,4.43,0.66,19.10,368.48,382.52,247.14,63.74,68.13,100.91,100.55,63.13,20.48,26.08,47.48,-0.43,1.04,-8.80,89.01,89.01,57.29,202405
00259,1320519858.00,451267634.00,835505076.00,342990210.00,122454.00,1356754.00,39498.00,6099.00,1371.00,2.85,-2.28,-2.67,1.09,83.95,16.07,233.48,1.68,0.98,69.26,1.02,18.70,1.07,16.17,152.07,588.95,314.46,12.74,53.86,91.85,84.46,42.31,2.73,3.05,37.08,-2.88,2.72,-12.94,73.49,68.64,34.66,202405
