código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00311,948685165.00,425540032.00,633370180.00,211749805.00,8610.00,953042.00,45930.00,582100.00,718.00,2.55,-0.39,-2.11,1.29,43.26,57.46,165.78,1.69,0.74,23.68,1.13,10.84,0.48,15.12,65.78,871.93,595.28,20.61,48.17,55.29,58.79,18.99,4.80,5.98,29.36,-0.97,4.08,-19.58,25.72,12.85,30.59,202501
00312,97679777.00,22051187.00,75328370.00,16409866.00,139.00,199.00,2981.00,56181.00,66.00,4.53,2.40,1.03,1.74,4.87,95.13,54.83,1.79,0.82,-43.10,1.74,2.72,0.35,15.96,-17.36,1125.05,234.65,34.11,51.19,-19.44,94.45,38.48,5.39,8.12,20.73,-0.19,-2.56,-17.70,62.47,43.01,49.75,202501
00315,673103208.00,115081815.00,470693959.00,145170400.00,104574.00,460788.00,8830.00,147649.00,541.00,3.52,2.03,0.50,2.63,26.44,73.56,78.19,2.39,3.27,-8.04,2.54,12.88,1.48,18.86,96.16,868.79,209.34,17.03,41.42,74.06,76.20,4.90,3.69,6.07,31.79,-0.51,1.98,-16.68,24.39,17.97,23.97,202501
00319,577401755.00,207195648.00,318036291.00,182756999.00,1005.00,1952.00,965.00,56.00,194.00,1.98,-5.11,-5.11,0.00,100.00,0.00,104043.46,0.00,0.00,274.80,0.00,13.96,0.00,8.12,242.08,1634.80,1094.53,12.90,53.63,58.89,53.84,30.54,4.12,7.13,29.31,-1.48,0.87,-7.77,56.90,52.25,28.55,202501
00321,1402804493.00,193271028.00,813946901.00,515528006.00,12166.00,1281046.00,0.00,0.00,0.00,1.72,3.28,1.34,8.95,17.35,82.65,58.86,7.45,16.08,-2.15,8.07,9.31,4.49,9.27,338.46,1263.34,313.62,23.96,28.77,68.59,99.67,22.36,9.25,11.97,33.75,-0.66,1.59,-7.83,60.06,16.04,57.60,202501
00322,2674340884.00,601971272.00,2004387705.00,368678169.00,21693.00,3880390.00,6240.00,237480.00,709.00,6.01,-5.16,-5.83,0.37,95.44,4.56,919.47,4.91,0.16,184.27,0.27,13.58,0.17,8.56,151.92,2769.46,836.35,44.96,29.14,103.31,45.18,38.43,6.64,10.81,26.66,-0.74,3.83,-10.04,69.94,65.26,21.35,202501
00330,2555808413.00,1067871675.00,1902543215.00,389006579.00,75509.00,1431368.00,63978.00,1306022.00,1654.00,5.44,0.43,-1.00,0.69,54.24,45.76,147.42,1.32,0.15,-23.61,0.63,8.61,0.45,9.01,42.79,1138.61,637.90,-0.98,47.56,21.48,49.14,26.25,-0.20,-0.32,16.25,-0.67,1.41,-10.09,26.33,22.77,14.60,202501
00331,6711167.00,3291954.00,0.00,6156536.00,0.00,0.00,0.00,0.00,5.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.40,0.00,76.91,-67.34,0.00,658.00,-106.24,31.03,-52.90,45.78,0.00,-92.07,-92.07,25.67,0.00,-0.05,-68.07,0.00,0.00,0.00,202501
00332,211002272.00,185746036.00,0.00,26640602.00,0.00,0.00,0.00,543640.00,179.00,6.92,103.19,46.32,12.94,0.00,100.00,59.77,12.94,0.00,0.00,12.94,1.10,11.25,22.17,19.64,0.00,1065.42,3.53,30.48,35.05,59.71,0.00,0.57,2.19,32.28,-11.98,20.71,-28.61,2.63,0.00,0.00,202501
00338,458523242.00,92641125.00,194828390.00,143998914.00,920.00,606.00,0.00,0.00,0.00,1.83,-1.66,-1.66,0.07,99.32,0.68,2282.09,0.15,0.07,69.77,0.07,15.50,0.07,16.96,348.24,1419.47,672.09,57.00,44.15,138.66,46.95,25.47,15.92,27.22,49.80,-0.54,2.86,-11.12,118.99,105.38,46.03,202501
