código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00330,2305111743.00,731948468.00,1721119112.00,360614951.00,65030.00,1327405.00,0.00,0.00,0.00,5.24,0.10,-0.79,0.59,58.02,41.98,155.50,1.16,0.18,-29.39,0.56,9.77,0.44,10.60,87.05,1018.73,429.63,9.56,48.66,35.71,68.77,41.71,2.32,3.07,20.68,-0.55,1.32,-9.94,37.89,33.37,17.58,202409
00331,3303348.00,2467062.00,0.00,2798868.00,0.00,0.00,0.00,0.00,5.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.56,0.00,95.18,-59.37,0.00,493.00,-167.14,30.82,-62.53,66.67,0.00,-138.23,-138.23,39.60,0.00,-0.05,-87.11,0.00,0.00,0.00,202409
00332,135922515.00,117674143.00,0.00,21513643.00,0.00,0.00,0.00,513709.00,181.00,5.32,65.34,39.34,13.19,0.00,100.00,56.88,13.19,0.00,5.86,13.19,0.15,11.75,27.25,18.22,0.00,672.07,-44.19,32.90,26.20,65.77,143.22,-8.95,-7.24,32.01,-11.51,21.21,-29.13,0.36,0.00,0.00,202409
00338,404022927.00,75719971.00,151157006.00,114259729.00,780.00,564.00,0.00,0.00,0.00,2.01,-1.46,-1.47,0.08,99.50,0.50,1748.65,0.08,0.08,41.85,0.08,10.25,0.08,21.84,420.57,1115.66,555.56,89.70,46.19,236.30,67.70,35.49,21.38,37.96,72.24,-0.94,3.04,-13.39,137.52,119.32,41.51,202409
00339,71015741.00,63767743.00,19524527.00,36798209.00,3.00,0.00,0.00,0.00,0.00,0.93,-0.23,-0.23,0.00,100.00,0.00,0.00,0.00,0.00,-86.44,0.00,8.46,0.00,7.53,523.42,1017.15,3358.47,-35.49,26.41,76.87,93.10,65.27,-15.94,-17.29,47.50,0.43,-0.41,-6.60,35.89,30.77,30.77,202409
00340,163515530.00,38909657.00,122396833.00,23333055.00,0.00,79.00,0.00,0.00,0.00,3.52,-0.38,-0.38,0.04,99.99,0.01,964.08,21.04,0.04,-49.45,0.02,12.53,0.04,9.28,147.44,1704.21,552.77,31.77,74.82,102.85,63.63,74.49,3.49,4.55,24.30,-0.10,0.26,-7.66,62.64,29.04,45.40,202409
00341,26932381.00,3965704.00,17349298.00,6496199.00,358.00,8437.00,0.00,0.00,0.00,3.15,3.24,1.25,9.10,49.37,50.63,78.50,15.02,3.02,3.32,9.10,22.07,5.92,29.43,-29.58,177.54,38.72,-35.94,65.69,-23.30,95.84,34.82,-9.26,-9.83,14.77,-0.90,1.38,-20.30,45.59,34.27,45.59,202409
00384,198725602.00,25922952.00,182164040.00,9877107.00,0.00,1306894.00,0.00,0.00,0.00,19.11,-0.77,-2.49,0.26,1.08,98.92,381.13,0.26,0.00,-8.70,0.26,10.82,0.00,5.40,30.21,3001.41,416.34,-52.01,40.05,39.46,44.18,30.79,-4.64,-4.64,18.35,-0.32,-1.14,-11.65,68.90,45.63,35.07,202409
00386,1177265676.00,385925243.00,753555059.00,308030723.00,25385.00,798532.00,0.00,0.00,0.00,2.79,-0.47,-0.84,0.64,55.12,44.88,215.62,0.92,0.40,-9.58,0.47,5.62,0.63,10.97,264.09,991.79,508.28,25.01,45.61,92.75,62.54,35.27,7.34,11.59,39.65,-0.54,2.29,-10.30,29.07,21.11,16.90,202409
00389,388536012.00,100278383.00,116488370.00,82966490.00,1267.00,343730.00,0.00,0.00,0.00,3.10,6.68,2.31,7.30,7.05,92.95,76.24,7.85,0.05,24.63,7.30,4.42,4.88,34.57,-63.64,156.60,130.55,100.09,60.70,-80.33,104.15,56.65,17.98,20.62,9.48,-2.54,3.84,-22.68,15.74,12.93,16.35,202409
