código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00319,516611030.00,197219619.00,301058665.00,168261331.00,1005.00,1945.00,56.00,37.00,191.00,1.72,-3.99,-3.99,0.01,100.00,0.00,21353.96,0.00,0.01,274.00,0.01,13.59,0.00,8.54,315.96,1570.94,1055.93,25.18,57.55,80.80,65.26,35.97,7.80,12.09,36.44,-1.60,0.77,-7.92,47.06,47.06,22.39,202411
00321,1302615950.00,156189740.00,773490751.00,474109201.00,10082.00,1234943.00,21094.00,629065.00,637.00,1.75,3.12,0.84,7.06,15.47,84.53,66.48,6.44,10.44,0.51,7.05,9.19,3.85,9.64,351.21,1203.65,251.54,1.56,28.53,73.79,96.23,26.42,0.62,-0.03,36.65,-0.58,1.90,-8.33,15.52,15.48,15.52,202411
00322,2441043018.00,537308157.00,1815213266.00,321651802.00,18201.00,1826723.00,7016.00,227199.00,730.00,6.14,-5.13,-5.62,0.37,94.62,5.38,942.90,3.88,0.17,184.92,0.26,15.31,0.20,8.82,175.12,2439.58,726.58,40.06,30.93,118.49,49.44,48.35,6.09,11.93,31.28,-1.28,3.84,-10.28,68.01,67.57,19.38,202411
00330,2521641690.00,890612354.00,1937058586.00,379650893.00,65030.00,1327405.00,70760.00,1337582.00,1663.00,5.53,0.07,-0.97,0.57,57.61,42.39,162.36,1.09,0.18,-27.27,0.54,6.50,0.41,9.40,70.96,1152.60,526.31,7.65,46.40,31.83,59.13,33.67,1.73,1.93,19.21,-0.58,1.37,-10.13,27.40,27.20,8.57,202411
00331,3047073.00,2025889.00,0.00,2516892.00,0.00,0.00,0.00,0.00,5.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.32,0.00,116.95,-64.18,0.00,404.60,-149.18,29.68,-61.02,55.40,0.00,-125.46,-125.46,33.03,0.00,-0.05,-79.96,0.00,0.00,0.00,202411
00332,167630577.00,147398009.00,0.00,23361031.00,0.00,0.00,0.00,525155.00,180.00,6.18,79.13,38.55,12.44,0.00,100.00,60.89,12.44,0.00,5.76,12.44,0.21,11.01,24.78,17.28,0.00,843.12,-29.97,31.02,28.39,63.35,1691.06,-5.42,-3.70,32.59,-11.76,21.07,-29.69,0.45,0.00,0.00,202411
00338,426336189.00,119180312.00,155729982.00,131864191.00,780.00,564.00,80.00,5409.00,136.00,1.46,-2.28,-2.29,0.06,99.53,0.47,2838.88,0.07,0.06,79.35,0.06,9.23,0.06,17.85,440.24,1129.93,868.58,81.36,45.39,204.32,54.76,30.79,21.14,36.96,67.16,-1.15,3.01,-12.06,73.39,72.28,19.31,202411
00339,101485913.00,87141002.00,11696439.00,39702245.00,3.00,0.00,33.00,16278.00,19.00,1.56,-0.30,-0.30,0.00,100.00,0.00,0.00,0.00,0.00,-86.83,0.00,9.55,0.00,5.94,445.35,601.28,4578.23,-36.42,29.65,61.85,76.43,54.96,-16.09,-18.22,38.33,0.69,-0.40,-6.14,21.20,82.82,82.82,202411
00340,167812887.00,63056934.00,105212934.00,24840651.00,0.00,79.00,15.00,83.00,69.00,4.64,-0.92,-0.92,0.07,83.08,16.92,831.16,0.30,0.03,-33.80,0.04,10.46,0.07,8.73,134.62,1490.48,900.55,25.09,73.30,83.68,53.72,56.76,3.00,3.87,21.22,-0.21,0.40,-7.43,44.36,44.31,15.85,202411
00341,27329758.00,4349145.00,18180326.00,6162941.00,358.00,8437.00,5512.00,33426.00,95.00,3.43,3.51,1.33,8.31,51.70,48.30,78.33,15.39,1.70,3.28,8.31,21.83,5.55,28.43,-46.88,190.09,43.40,-44.49,64.93,-38.44,94.22,27.26,-11.23,-12.27,11.79,-0.87,1.01,-20.70,32.83,32.81,32.83,202411
