código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00432,85460376.00,33352285.00,20207989.00,26669679.00,0.00,0.00,168.00,30375.00,108.00,1.92,0.33,0.07,1.63,88.48,11.52,96.84,2.93,1.46,2.71,1.58,16.58,0.09,20.69,91.50,187.60,310.88,0.36,51.15,37.51,49.16,11.38,0.11,-0.95,22.32,-0.45,2.99,-12.09,136.33,94.69,151.90,202503
00435,7865342.00,3628367.00,917123.00,6339562.00,0.00,0.00,380069.00,667.00,10.00,0.24,9.49,7.27,19.23,84.29,15.71,40.89,4.53,21.97,-32.45,19.23,2.96,4.17,83.10,4.74,80.79,337.27,-23.68,12.14,3.24,75.92,3.84,-13.84,-19.62,39.25,-4.71,9.90,-39.91,256.35,25.37,256.35,202503
00448,50542633.00,10572912.00,31162527.00,14030069.00,0.00,0.00,371.00,55533.00,33.00,2.57,4.47,3.85,8.47,51.27,48.73,43.66,1.43,15.17,4.44,8.47,7.42,0.11,10.60,145.90,908.98,311.24,4.77,49.61,47.93,39.09,29.32,1.19,1.37,20.56,-0.80,1.99,-8.23,21.29,11.92,21.29,202503
44077,108039512.00,53988295.00,64476958.00,15931252.00,0.00,0.00,2267.00,140843.00,402.00,5.78,30.42,-6.19,12.51,2.54,97.46,110.61,12.83,0.00,42.27,12.51,5.40,12.49,29.45,-9.86,158.73,133.27,-29.57,32.27,-18.07,121.49,24.94,-5.80,-8.40,42.47,-7.24,1.85,-35.95,9.21,9.05,9.21,202503
44088,344632576.00,327326823.00,4133869.00,65353326.00,0.00,0.00,4.00,21641.00,46.00,4.27,1.59,-0.60,0.16,53.73,46.27,170.01,0.33,0.01,-74.22,0.16,0.76,0.16,3.62,289.46,91.63,7682.64,16.45,42.79,60.44,50.72,34.49,4.05,7.04,26.96,-1.62,-0.48,-5.14,2.94,63.36,63.36,202503
44092,216441714.00,190150475.00,19899766.00,30608883.00,0.00,0.00,47.00,42654.00,37.00,6.07,10.07,1.29,0.94,47.76,52.24,82.66,1.34,0.50,-41.17,0.94,0.32,0.94,4.53,194.84,414.86,5216.01,22.46,27.96,67.19,55.86,10.95,3.64,5.94,12.01,-1.90,11.52,-5.59,2.12,3.44,3.44,202503
44093,121185657.00,110256758.00,0.00,26785239.00,0.00,0.00,0.00,16598.00,46.00,3.52,14.85,1.60,1.81,4.47,95.53,80.58,1.90,0.00,2.15,1.81,1.85,1.81,4.94,290.12,0.00,2423.54,9.44,47.54,60.85,54.69,19.08,3.30,9.28,31.27,-3.21,5.12,-7.34,7.20,0.00,0.00,202503
44094,106385921.00,52078133.00,4051064.00,21447323.00,0.00,0.00,0.00,1176.00,46.00,3.96,19.22,4.56,1.49,89.37,10.63,39.02,4.57,1.12,-58.12,1.49,1.41,0.48,14.38,96.25,88.07,1134.96,21.88,59.97,39.32,65.50,10.79,4.88,2.29,22.54,-1.04,1.71,-9.10,36.91,36.91,36.91,202503
44095,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23315.00,34.00,3.50,3.07,-1.02,0.33,9.27,90.73,153.07,0.33,0.39,-52.88,0.33,2.21,0.33,4.98,327.61,0.00,5680.28,59.63,23.30,125.00,69.89,0.00,15.08,26.51,55.50,-2.44,-4.51,-9.65,0.00,0.00,0.00,202503
44096,397676768.00,346288983.00,0.00,36308706.00,0.00,0.00,0.00,1235.00,74.00,9.95,33.30,14.34,2.43,100.00,0.00,35.44,0.00,2.43,-48.40,2.12,5.36,2.43,2.59,191.32,0.00,4661.71,24.50,59.55,55.81,15.08,0.00,2.10,3.17,7.36,-0.46,1.63,-2.50,0.00,0.00,0.00,202503
44098,194147201.00,189676297.00,2113659.00,33347651.00,0.00,0.00,1.00,33426.00,38.00,4.82,3.15,-1.36,0.28,26.45,73.55,171.14,0.39,0.00,-55.00,0.28,0.88,0.28,3.32,272.96,66.67,7294.58,19.34,31.55,68.84,57.43,47.77,3.80,5.80,24.08,-2.15,1.51,-4.95,10.12,80.40,80.40,202503
44099,119508767.00,88749353.00,5032733.00,33291842.00,0.00,0.00,25.00,8737.00,61.00,2.59,7.31,2.15,0.72,37.98,62.02,16.38,0.48,1.10,-90.35,0.72,0.39,0.20,13.51,97.88,81.37,1475.20,-2.47,55.24,38.16,55.62,39.34,-0.91,0.57,28.14,-0.26,4.82,-14.39,3.13,9.34,9.34,202503
45030,1764706659.00,640411311.00,1520018089.00,133994428.00,0.00,0.00,30.00,3285127.00,49.00,7.15,23.13,-7.10,8.77,0.86,99.14,114.52,8.85,0.00,52.11,8.77,12.34,0.02,2.38,168.73,30938.15,13154.51,70.32,13.09,96.68,102.94,29.68,5.39,6.32,30.16,-11.94,-2.91,-4.39,50.16,8.87,53.13,202503
45056,53854672.00,34995187.00,37856236.00,9203610.00,0.00,0.00,7076.00,41474.00,244.00,4.85,92.71,42.55,17.22,2.12,97.88,45.36,17.58,0.51,-28.38,17.21,6.18,13.60,15.08,-15.22,153.38,149.72,22.78,49.13,-21.81,69.43,30.46,4.33,3.83,21.88,-5.86,10.92,-27.26,14.50,8.79,15.07,202503
45072,79050445.00,34680026.00,63781278.00,5122610.00,0.00,0.00,4853.00,9356.00,148.00,14.69,39.16,10.53,3.20,66.67,33.33,75.45,6.85,1.38,2.62,3.20,32.39,0.35,21.22,-8.85,379.18,199.76,-39.37,44.54,-30.56,52.04,13.94,-3.06,-3.02,21.24,-1.15,6.93,-26.85,45.25,38.19,45.25,202503
65203,7133061.00,3270289.00,2848650.00,3721692.00,0.00,0.00,190.00,14317.00,84.00,0.92,18.47,10.58,33.41,5.03,94.97,70.37,30.00,97.77,6.87,33.41,4.97,24.48,76.32,-62.65,33.70,34.54,-94.61,61.81,-71.36,96.76,28.05,-43.21,-43.03,33.70,-11.53,0.12,-52.02,12.45,12.45,12.45,202503
AA000,223955015552.00,88665800882.00,143903701519.00,55084488373.00,0.00,0.00,4432136.00,42280927.00,94330.00,2.83,1.80,-1.56,1.90,55.24,44.87,145.04,3.21,0.83,52.45,1.90,13.64,1.14,7.21,160.79,1483.19,858.28,9.74,55.00,47.67,42.84,18.11,2.50,3.71,21.18,-1.35,1.55,-7.61,32.83,25.73,27.27,202503
AA100,220442252599.00,86593928952.00,142179489217.00,54669371811.00,0.00,0.00,4417643.00,38641028.00,93021.00,2.81,1.68,-1.57,1.85,55.82,44.29,147.55,3.13,0.83,54.06,1.85,13.74,1.14,7.25,161.28,1485.74,845.74,9.62,55.25,47.57,42.30,18.02,2.48,3.69,21.11,-1.29,1.56,-7.61,32.65,25.90,26.97,202503
AA110,84513160218.00,31815418362.00,55005822857.00,24507097004.00,0.00,0.00,1912969.00,13730501.00,37128.00,2.26,2.11,-0.66,1.71,52.75,47.32,125.84,2.25,1.24,28.45,1.83,8.39,0.92,6.57,248.60,1434.82,699.91,11.64,68.36,53.77,49.24,19.92,3.35,5.37,23.37,-0.78,0.07,-6.22,24.86,16.20,21.13,202503
AA120,135929092381.00,54778510590.00,87173666360.00,30162274807.00,0.00,0.00,2504674.00,24910527.00,55893.00,3.26,1.32,-2.33,1.92,57.50,42.64,159.39,3.66,0.62,68.67,1.86,17.06,1.26,7.65,117.59,1519.74,943.12,7.92,48.70,42.39,38.87,16.67,1.88,2.53,19.56,-1.64,2.59,-8.57,37.54,32.03,30.66,202503
AA121,74080995591.00,28603375858.00,47127107691.00,16788307120.00,0.00,0.00,1739581.00,17130988.00,33186.00,3.16,1.67,-1.92,2.02,58.18,41.88,148.20,3.74,0.77,59.75,1.93,15.77,1.06,7.73,111.67,1379.65,827.03,10.45,51.29,40.10,41.50,18.86,2.49,3.07,19.03,-1.56,2.40,-8.55,35.08,29.98,28.44,202503
AA123,56246841521.00,25221797363.00,37614421654.00,10997209003.00,0.00,0.00,765062.00,7755561.00,21306.00,3.91,1.59,-2.98,1.88,54.84,45.21,163.16,3.56,0.48,72.21,1.84,18.07,1.56,7.09,120.59,1723.98,1143.25,5.77,46.14,47.12,36.13,14.82,1.25,2.11,19.76,-1.87,2.72,-8.43,33.81,29.24,30.30,202503
